,date,link,title,length,transcribed
197,2017-09-08,https://www.youtube.com/watch?v=J7eU9sDhBjI,加藤純一ライブ『くっちゃべ』,7323,-1
198,2017-09-08,https://www.youtube.com/watch?v=tmkqo--4cT8,あ,562,-1
199,2017-09-10,https://www.youtube.com/watch?v=Lgz1znO1O-g,A,1663,-1
200,2017-09-22,https://www.youtube.com/watch?v=ta4oAoPAGzw,おはよう,3561,-1
201,2017-09-22,https://www.youtube.com/watch?v=7CAK_4AyJ60,続・おはよう,5473,-1
202,2017-09-22,https://www.youtube.com/watch?v=POeHgCRv5yw,中国進出放送,10038,-1
203,2017-09-25,https://www.youtube.com/watch?v=HKNd5X0A5Tg,飲む,3956,-1
204,2017-09-25,https://www.youtube.com/watch?v=7dCYSdyWjeI,飲む/うん国裁判,1958,-1
205,2017-09-26,https://www.youtube.com/watch?v=2q1mLDivLQM,なにかやる,4995,-1
206,2017-09-26,https://www.youtube.com/watch?v=JwZqQoYeNak,太鼓のオワタツジン,1490,-1
207,2017-10-01,https://www.youtube.com/watch?v=_W43tB_GfMM,だらだら,6355,-1
208,2017-10-05,https://www.youtube.com/watch?v=QhUyyaQKqzM,やぁ,1747,-1
209,2017-10-06,https://www.youtube.com/watch?v=ERaC1BRzjf4,a,3067,-1
210,2017-10-08,https://www.youtube.com/watch?v=TA8X2CvH5aM,ユーチューバー,9335,-1
211,2017-10-08,https://www.youtube.com/watch?v=saciv5FgJp4,ユーチューバー飯を食う,4367,-1
212,2017-10-17,https://www.youtube.com/watch?v=eig3PmsMc_Q,うんこ,2336,-1
213,2017-10-18,https://www.youtube.com/watch?v=c7m4qjcM7dQ,雑談します,4075,-1
214,2017-10-23,https://www.youtube.com/watch?v=3LLTokuHxC0,おはようございます！,10852,-1
215,2017-10-28,https://www.youtube.com/watch?v=QE3VnsPvx4E,雑談,2880,-1
216,2017-10-29,https://www.youtube.com/watch?v=OkanLLhMacA,月,13635,-1
217,2017-10-31,https://www.youtube.com/watch?v=kMOIHqLR5-4,水,11352,-1
218,2017-11-03,https://www.youtube.com/watch?v=PzcAZETCkXs,金,1828,-1
219,2017-11-06,https://www.youtube.com/watch?v=RHwvRvdurUA,飯を食う,1749,-1
